Year,AllOrgans.W,Kidney.W,Liver.W,Pancreas.W,Kidney_Pancreas.W,Heart.W,Lung.W,Heart_Lung.W,Intestine.W,AllOrgans.B,Kidney.B,Liver.B,Pancreas.B,Kidney_Pancreas.B,Heart.B,Lung.B,Heart_Lung.B,Intestine.B,AllOrgans.H,Kidney.H,Liver.H,Pancreas.H,Kidney_Pancreas.H,Heart.H,Lung.H,Heart_Lung.H,Intestine.H,AllOrgans.A,Kidney.A,Liver.A,Kidney_Pancreas.A,Heart.A,Lung.A,Heart_Lung.A,Intestine.A,AllOrgans.AN,Kidney.AN,Liver.AN,Heart.AN,Lung.AN,AllOrgans.PI,Kidney.PI,AllOrgans.MR,Kidney.MR,Liver.MR,Kidney_Pancreas.MR,Heart.MR
1988,58,39,8,0,0,11,0,0,0,25,21,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1989,63,36,17,0,4,6,0,0,0,20,13,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
1990,79,28,26,0,12,13,0,0,0,20,14,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1991,90,40,28,2,13,7,0,0,0,29,21,4,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0
1992,67,23,26,0,4,8,5,1,0,29,23,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,92,30,20,0,11,17,14,0,0,21,15,1,0,1,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,137,47,33,1,12,18,24,2,0,30,20,3,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1995,139,36,35,0,11,21,33,3,0,35,23,2,0,3,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1996,123,30,30,1,13,22,27,0,0,56,40,4,0,2,5,5,0,0,2,1,1,0,0,0,0,0,0,3,0,2,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0
1997,137,38,21,0,15,17,46,0,0,64,38,10,0,5,2,8,1,0,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
