Year, All Organs, Kidney, Liver, Pancreas, Kidney.Pancreas, Heart, Lung, Heart.Lung, All-0-1, Liver-0-1, Heart-0-1, All-1-5, Kidney-1-5,Liver-1-5, Heart-1-5, All-6-10, Kidney-6-10, Liver-6-10, Heart-6-10, All-11-17, Kidney-11-17, Liver-11-17, Pancreas-11-17, Heart-11-17, All-18-34, Kidney-18-34, Liver-18-34, Pancreas-18-34, Kidney.Pancreas-18-34, Heart-18-34, Lung-18-34, Heart.Lung-18-34, All-35-49, Kidney-35-49, Liver-35-49, Pancreas-35-49, Kidney.Pancreas-35-49, Heart-35-49, Lung-35-49, Heart.Lung-35-49, All-50-64, Kidney-50-64, Liver-50-64, Pancreas-50-64, Kidney.Pancreas-50-64, Heart-50-64, Lung-50-64, Heart.Lung-50-64, All-65+, Kidney-65+, Liver-65+, Heart-65+, Lung-65+
1988,109,41,21,0,0,46,0,1,1,0,1,5,1,4,0,0,0,0,0,3,1,0,0,2,29,18,2,0,0,8,0,1,31,12,7,0,0,12,0,0,38,7,8,0,0,23,0,0,2,2,0,0,0
1989,83,47,18,0,0,18,0,0,1,0,1,1,1,0,0,0,0,0,0,2,1,1,0,0,19,12,3,0,0,4,0,0,35,24,9,0,0,2,0,0,24,8,5,0,0,11,0,0,1,1,0,0,0
1990,94,57,16,0,0,20,0,1,2,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,23,16,5,0,0,2,0,0,36,23,7,0,0,6,0,0,28,14,4,0,0,9,0,1,3,3,0,0,0
1991,91,34,27,0,0,25,3,2,3,1,2,2,1,1,0,2,2,0,0,2,1,0,0,1,18,12,3,0,0,2,1,0,31,11,10,0,0,8,1,1,31,6,11,0,0,12,1,1,2,1,1,0,0
1992,89,38,31,0,0,15,4,1,0,0,0,2,0,1,1,2,1,0,1,2,1,0,0,1,13,7,1,0,0,3,1,1,35,17,14,0,0,3,1,0,29,10,13,0,0,4,2,0,6,2,2,2,0
1993,96,43,37,0,2,8,5,1,1,0,1,1,1,0,0,1,0,0,1,3,2,0,0,1,16,9,3,0,2,1,1,0,45,20,21,0,0,1,2,1,26,9,13,0,0,3,1,0,3,2,0,0,1
1994,83,37,33,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,25,13,6,0,5,1,0,0,35,12,17,0,4,2,0,0,17,8,8,0,0,1,0,0,1,1,0,0,0
1995,90,29,39,0,11,7,4,0,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,0,13,4,2,0,6,1,0,0,32,11,14,0,4,2,1,0,38,11,22,0,1,1,3,0,3,2,1,0,0
1996,124,38,66,0,10,6,4,0,1,1,0,3,0,3,0,0,0,0,0,1,1,0,0,0,21,9,6,0,6,0,0,0,51,14,28,0,4,2,3,0,41,12,24,0,0,4,1,0,6,2,4,0,0
1997,126,53,60,0,6,3,4,0,2,2,0,0,0,0,0,0,0,0,0,6,2,4,0,0,27,17,6,0,4,0,0,0,56,23,29,0,2,0,2,0,26,9,12,0,0,3,2,0,9,2,7,0,0
