Year, All.W, Kidney.W, Liver.W, Pancreas.W, Kidney.Pancreas.W, Heart.W, Lung.W, Heart.Lung.W, All.B, Kidney.B, Liver.B, Pancreas.B, Kidney.Pancreas.B, Heart.B, Lung.B, Heart.Lung.B, All.H, Kidney.H, Liver.H, Kidney.Pancreas.H, Heart.H, Lung.H, All.U, Heart.Lung.U, All.A, Kidney.A, Liver.A, Heart.A, All.AI,Kidney.AI, Liver.AI, Heart.AI, All.PI, Kidney.PI, Liver.PI, All.M, Kidney.M, Liver.M, Heart.M
1988,75,24,18,0,0,32,0,1,31,16,2,0,0,13,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989,49,20,15,0,0,14,0,0,32,25,3,0,0,4,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,53,22,14,0,0,16,0,1,41,35,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,62,14,24,0,0,20,3,1,25,20,1,0,0,4,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1
1992,55,14,26,0,0,11,4,0,32,24,4,0,0,3,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1993,57,15,29,0,2,5,5,1,37,26,8,0,0,3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,45,13,24,0,7,1,0,0,34,23,7,0,2,2,0,0,2,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1995,65,15,34,0,8,6,2,0,22,14,3,0,3,1,1,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1996,75,11,51,0,6,3,4,0,45,26,12,0,4,3,0,0,2,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1997,71,18,45,0,4,2,2,0,50,35,10,0,2,1,2,0,2,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1998,75,21,46,0,7,1,0,0,36,30,6,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1999,68,17,45,0,5,1,0,0,46,34,10,0,2,0,0,0,8,0,4,4,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2000,66,25,32,0,3,3,3,0,45,36,8,0,0,1,0,0,5,1,4,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2001,68,22,36,1,3,2,4,0,55,46,4,1,1,3,0,0,5,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2002,73,33,32,1,4,2,1,0,60,46,9,0,2,3,0,0,3,1,2,0,0,0,0,0,3,1,2,0,1,0,1,0,0,0,0,1,1,0,0
2003,82,34,41,1,2,3,1,0,79,62,14,1,2,0,0,0,2,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,1,0
2004,69,27,36,1,1,4,0,0,83,64,14,2,2,1,0,0,9,3,6,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2005,72,26,37,1,3,4,1,0,98,83,11,0,1,3,0,0,5,0,5,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0
2006,91,38,40,1,3,6,3,0,79,68,8,0,1,2,0,0,7,1,6,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2007,67,36,28,0,1,2,0,0,94,70,10,0,1,13,0,0,7,0,6,1,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2008,82,32,42,0,2,6,0,0,90,72,8,0,0,10,0,0,6,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2009,90,43,38,0,2,7,0,0,116,89,14,0,2,11,0,0,3,0,3,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,74,35,29,1,1,8,0,0,115,88,15,1,1,10,0,0,7,4,3,0,0,0,0,0,4,2,0,2,2,0,1,1,1,1,0,0,0,0,0
2011,92,48,32,0,2,10,0,0,94,71,11,1,5,6,0,0,8,2,3,0,3,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2012,96,41,43,0,2,10,0,0,103,84,11,1,1,6,0,0,12,5,6,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,2,0,0
2013,56,24,26,0,1,5,0,0,69,55,7,0,0,7,0,0,4,2,2,0,0,0,0,0,5,5,0,0,2,1,0,1,1,0,1,0,0,0,0
