Year, All, Kidney, Liver, Heart, Pancreas, Lung, Intestine, All-0-1, Kidney.0.1, Liver-0-1, Heart-0-1, Pancreas.0.1, Lung.0.1, Intestine.0.1, All-1-5, Kidney-1-5,Liver-1-5, Heart-1-5, Pancreas-1-5, Lung-1-5, Intestine-1-5, All-6-10, Kidney-6-10, Liver-6-10, Heart-6-10, Pancreas-6-10, Lung-6-10, Intestine-6-10, All-11-17, Kidney-11-17, Liver-11-17, Heart-11-17, Pancreas-11-17, Lung-11-17, Intestine-11-17, All-18-34, Kidney-18-34, Liver-18-34, Heart-18-34, Pancreas-18-34, Lung-18-34, Intestine-18-34, All-35-49, Kidney-35-49, Liver-35-49, Heart-35-49, Pancreas-35-49, Lung-35-49, Intestine-35-49, All-50-64, Kidney-50-64, Liver-50-64, Heart-50-64, Pancreas-50-64, Lung-50-64, Intestine-50-64, All-65+, Kidney-65+, Liver-65+, Heart-65+, Pancreas.65+, Lung-65+, Intestine-65+, All.U, Kidney.U, Liver.U, Heart.U, Pancreas.U, Lung.U, Intestine.U
1988,317,300,148,150,32,8,0,9,1,9,3,0,0,0,18,17,15,1,1,0,0,18,18,13,3,3,0,0,47,47,24,28,5,4,0,136,129,60,87,13,2,0,58,57,21,24,7,2,0,31,31,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,321,307,182,143,74,5,0,8,4,7,5,0,0,0,20,19,14,2,4,0,0,16,16,13,2,5,0,0,41,39,29,19,15,1,0,118,112,69,80,26,3,0,66,65,35,29,18,1,0,48,48,15,6,6,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1990,431,416,253,216,92,24,0,6,4,6,4,1,0,0,17,16,14,7,4,0,0,19,18,9,2,2,0,0,50,50,33,27,19,4,0,187,182,120,127,35,11,0,93,88,54,44,24,9,0,57,56,17,5,7,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1991,420,401,261,247,85,52,1,17,12,14,14,1,0,0,24,22,18,9,1,0,1,13,13,11,4,0,2,0,60,59,38,38,16,15,0,160,152,107,118,46,26,0,79,77,43,46,12,6,0,54,53,24,18,9,3,0,13,13,6,0,0,0,0,0,0,0,0,0,0,0
1992,405,387,270,217,73,51,3,6,2,5,4,0,0,0,23,21,16,9,1,0,1,16,16,13,7,4,4,1,48,48,36,30,11,11,0,134,130,97,92,36,19,0,106,100,71,61,16,13,1,59,58,27,14,4,4,0,13,12,5,0,1,0,0,0,0,0,0,0,0,0
1993,463,435,344,262,108,89,3,15,4,11,10,0,1,2,18,14,15,5,1,1,1,13,13,12,4,1,2,0,74,72,61,59,24,18,0,151,145,120,105,51,39,0,109,105,75,53,21,20,0,68,68,41,24,10,8,0,15,14,9,2,0,0,0,0,0,0,0,0,0,0
1994,489,463,386,278,134,88,3,9,2,5,8,0,0,0,16,14,10,4,0,0,0,14,14,11,4,3,4,1,75,72,68,56,34,15,1,167,160,144,124,55,33,0,102,98,72,55,20,22,1,88,85,68,25,20,12,0,18,18,8,2,2,2,0,0,0,0,0,0,0,0
1995,468,445,372,257,133,118,5,9,3,3,7,0,0,0,18,18,17,9,2,0,3,16,16,14,9,2,3,0,59,59,51,45,26,24,0,144,137,115,102,59,51,0,111,106,93,63,36,24,2,94,89,67,22,8,16,0,17,17,12,0,0,0,0,0,0,0,0,0,0,0
1996,527,492,432,290,148,88,5,7,2,5,7,0,1,2,20,18,16,11,1,1,3,17,15,14,6,0,2,0,59,58,55,42,27,21,0,169,164,147,117,78,31,0,148,135,122,81,38,21,0,81,75,56,21,4,9,0,26,25,17,5,0,2,0,0,0,0,0,0,0,0
1997,531,496,433,287,136,108,8,9,4,6,7,0,1,2,22,20,19,9,0,3,4,16,16,14,6,3,3,0,54,53,51,36,24,13,0,158,150,136,116,63,48,0,134,123,103,78,41,26,2,113,105,84,33,5,14,0,25,25,20,2,0,0,0,0,0,0,0,0,0,0
1998,559,499,477,291,162,76,5,9,1,7,9,0,3,3,25,23,22,16,1,1,1,9,9,8,3,0,0,0,50,47,46,34,26,9,0,166,147,149,120,85,34,1,159,149,125,84,45,24,0,103,92,87,24,5,5,0,37,31,32,1,0,0,0,1,0,1,0,0,0,0
1999,547,519,462,256,170,88,10,9,3,9,4,0,1,5,18,17,12,7,2,0,3,18,18,16,10,4,3,2,60,58,56,39,36,19,0,147,143,126,106,75,35,0,149,139,116,67,46,20,0,108,104,93,22,7,10,0,38,37,34,1,0,0,0,0,0,0,0,0,0,0
2000,587,544,502,276,186,92,10,12,8,9,7,1,1,4,24,24,22,13,1,3,4,9,9,9,5,4,3,2,53,52,48,34,34,14,0,167,161,154,110,94,32,0,163,151,127,78,45,23,0,125,113,104,27,6,14,0,34,26,29,2,1,2,0,0,0,0,0,0,0,0
2001,601,543,511,278,171,88,13,12,4,10,9,2,0,7,22,18,18,9,0,2,3,26,26,24,13,8,4,0,43,42,38,22,27,8,1,176,160,157,109,81,35,2,166,150,139,86,50,27,0,110,105,83,29,3,11,0,46,38,42,1,0,1,0,0,0,0,0,0,0,0
