Year, All_Donors, Kidney, Liver, Heart, Pancreas, Lung, Intestine, All_Donors_DD, Kidney_DD, Liver_DD, Heart_DD, Pancreas_DD, Lung_DD, Intestine_DD, All_Donors_LD, Kidney_LD, Liver_LD, Heart_LD, Pancreas_LD, Lung_LD, Intestine_LD
1988,473,456,148,150,32,8,0,317,300,148,150,32,8,0,156,156,0,0,0,0,0
1989,507,493,182,143,74,5,0,321,307,182,143,74,5,0,186,186,0,0,0,0,0
1990,636,618,253,219,92,24,0,431,416,253,216,92,24,0,205,202,0,3,0,0,0
1991,658,638,261,247,85,53,1,420,401,261,247,85,52,1,238,237,0,0,0,1,0
1992,643,625,270,217,73,51,3,405,387,270,217,73,51,3,238,238,0,0,0,0,0
1993,687,659,344,262,108,89,3,463,435,344,262,108,89,3,224,224,0,0,0,0,0
1994,748,720,386,278,134,90,3,489,463,386,278,134,88,3,259,257,0,0,0,2,0
1995,744,719,372,257,133,120,5,468,445,372,257,133,118,5,276,274,0,0,0,2,0
1996,848,806,433,290,148,94,5,527,492,432,290,148,88,5,321,314,1,0,0,6,0
1997,883,838,439,287,136,112,8,531,496,433,287,136,108,8,352,342,6,0,0,4,0
1998,976,889,498,291,162,82,5,559,499,477,291,162,76,5,417,390,21,0,0,6,0
1999,1013,937,510,256,170,88,10,547,519,462,256,170,88,10,466,418,48,0,0,0,0
2000,1044,949,550,276,186,96,10,587,544,502,276,186,92,10,457,405,48,0,0,4,0
2001,1108,1005,550,278,171,94,13,601,543,511,278,171,88,13,507,462,39,0,0,6,0
2002,1129,1049,571,260,208,80,16,621,565,547,260,208,80,16,508,484,24,0,0,0,0
2003,1193,1105,569,256,170,92,16,631,560,558,256,170,86,16,562,545,11,0,0,6,0
2004,1245,1166,643,241,218,101,18,690,636,620,241,218,99,18,555,530,23,0,0,2,0
2005,1387,1284,757,270,245,158,22,805,716,743,270,245,158,22,582,568,14,0,0,0,0
2006,1446,1337,884,300,229,176,33,946,856,865,300,229,176,33,500,481,19,0,0,0,0
2007,1377,1268,833,271,203,155,28,914,820,818,271,203,155,28,463,448,15,0,0,0,0
2008,1354,1237,838,298,233,170,32,922,821,822,298,233,170,32,432,416,16,0,0,0,0
2009,1402,1281,883,286,217,190,27,962,857,867,286,217,190,27,440,424,16,0,0,0,0
2010,1340,1255,819,315,203,222,19,941,862,813,315,203,222,19,399,393,6,0,0,0,0
2011,1349,1275,781,315,196,224,16,909,851,765,315,196,224,16,440,424,16,0,0,0,0
2012,1374,1304,811,269,164,205,19,970,906,805,269,164,205,19,404,398,6,0,0,0,0
2013,843,791,523,191,119,141,11,598,556,515,191,119,139,11,245,235,8,0,0,2,0
