Year, All.W, Kidney.W, Liver.W, Heart.W, Pancreas.W, Lung.W, Intestine.W, All.B, Kidney.B, Liver.B, Heart.B, Pancreas.B, Lung.B, Intestine.B, All.H, Kidney.H, Liver.H, Heart.H, Pancreas.H, Liver.H, Intestine.H, All.U, Kidney.U, Liver.U, Heart.U, Pancreas.U, Lung.U, Intestine.U, All.A, Kidney.A, Liver.A, Heart.A, Pancreas.A, Lung.A, Intestine.A, All.AI, Kidney.AI, Liver.AI, Heart.AI, Pancreas.AI, Lung.AI, Intestine.AI, All.PI, Kidney.PI, Liver.PI, Heart.PI, Pancreas.PI, Lung.PI, Intestine.PI, All.M, Kidney.M, Liver.M, Heart.M, Pancreas.M, Lung.M, Intestine.M
1988,267,254,126,135,28,5,0,48,44,22,15,2,3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,277,265,158,123,67,5,0,35,33,18,16,5,0,0,4,4,2,2,1,0,0,0,0,0,0,0,0,0,4,4,3,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,376,363,219,190,77,22,0,52,50,32,24,14,2,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,359,344,222,212,75,44,0,49,45,27,27,5,6,1,7,7,7,6,5,2,0,1,1,1,0,0,0,0,3,3,3,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,341,325,231,187,65,42,3,61,59,38,29,7,8,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,377,352,283,214,96,73,2,79,76,56,42,10,14,1,7,7,5,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,410,390,330,244,121,78,3,66,60,44,27,9,5,0,8,8,8,5,3,3,0,0,0,0,0,0,0,0,4,4,3,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,392,373,320,220,112,99,4,66,62,44,31,18,15,1,5,5,4,3,2,2,0,0,0,0,0,0,0,0,3,3,3,2,0,1,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,438,411,361,240,119,68,4,78,71,60,40,26,18,1,6,5,6,6,3,0,0,0,0,0,0,0,0,0,3,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0
1997,421,402,346,221,114,78,6,94,81,74,55,20,28,1,8,5,6,8,1,2,1,2,2,2,0,1,0,0,4,4,3,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0
1998,452,408,391,241,134,56,2,85,70,69,41,22,16,3,8,7,6,4,1,1,0,7,7,5,3,3,0,0,4,4,3,2,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,2,2,2,0,0,0,0
1999,438,418,378,201,137,71,6,85,78,67,40,24,13,3,12,11,9,7,6,1,1,3,3,2,2,0,0,0,3,3,2,2,1,1,0,1,1,1,0,1,1,0,2,2,1,1,0,1,0,3,3,2,3,1,0,0
2000,486,451,419,233,158,72,5,85,77,70,32,23,16,5,11,11,9,8,4,1,0,0,0,0,0,0,0,0,2,2,2,2,1,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0
2001,468,432,389,211,140,63,9,112,91,104,54,24,22,2,10,9,9,7,4,0,1,0,0,0,0,0,0,0,7,7,5,3,1,1,0,2,2,2,2,2,1,1,0,0,0,0,0,0,0,2,2,2,1,0,1,0
2002,498,456,444,206,173,55,9,99,88,83,41,26,20,5,17,15,15,10,8,4,2,0,0,0,0,0,0,0,3,3,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,1,0
