Year,All_Donors,Kidney,Liver,Heart,Pancreas,Lung,Intestine,Deceased_Donor,Kidney_DD,Liver_DD,Heart_DD,Pancreas_DD,Lung_DD,Intestine_DD,Living_Donor,Kidney_LD,Liver_LD,Heart_LD,Pancreas_LD,Lung_LD,Intestine_LD
1988,5909,5693,1833,1791,582,130,0,4080,3876,1833,1784,577,130,0,1829,1817,0,7,5,0,0
1989,5928,5712,2374,1790,803,191,0,4011,3810,2372,1781,799,191,0,1917,1902,2,9,4,0,0
1990,6632,6400,2882,2179,953,276,5,4509,4306,2868,2167,951,275,5,2123,2094,14,12,2,1,0
1991,6953,6664,3187,2202,1067,399,11,4526,4268,3165,2198,1066,395,11,2427,2396,22,4,1,4,0
1992,7091,6810,3367,2247,1007,526,21,4520,4276,3334,2246,1004,526,21,2571,2534,33,1,3,0,0
1993,7766,7460,3800,2444,1245,804,34,4861,4609,3764,2442,1243,790,34,2905,2851,36,2,2,14,0
1994,8203,7806,4153,2527,1361,950,61,5099,4797,4093,2524,1359,918,61,3104,3009,60,3,2,32,0
1995,8859,8398,4389,2491,1288,900,123,5363,5003,4335,2491,1281,855,122,3496,3395,54,0,7,45,1
1996,9222,8726,4527,2463,1303,802,50,5418,5037,4462,2462,1292,756,48,3804,3689,65,1,11,46,2
1997,9545,9022,4688,2426,1329,874,74,5479,5083,4601,2426,1323,836,72,4066,3939,87,0,6,38,2
1998,10362,9761,4935,2447,1464,817,80,5793,5339,4843,2447,1462,764,78,4569,4422,92,0,2,53,2
1999,10869,10114,5204,2316,1635,835,97,5824,5386,4947,2316,1628,777,95,5045,4728,257,0,7,58,2
2000,11934,10992,5403,2284,1705,861,90,5985,5489,4997,2284,1698,825,87,5949,5503,406,0,7,36,3
2001,12702,11576,5630,2276,1825,936,116,6080,5528,5106,2276,1821,887,116,6622,6048,524,0,4,49,0
2002,12821,11879,5657,2223,1884,945,113,6190,5638,5294,2223,1883,920,112,6631,6241,363,0,1,25,1
2003,13285,12226,6004,2120,1779,990,127,6457,5753,5682,2120,1776,961,123,6828,6473,322,0,3,29,4
2004,14154,12972,6642,2096,2022,1092,172,7150,6325,6319,2096,2022,1064,166,7004,6647,323,0,0,28,6
2005,14497,13273,7016,2220,2050,1287,191,7593,6700,6693,2220,2048,1285,184,6904,6573,323,0,2,2,7
2006,14750,13612,7304,2277,2033,1330,189,8017,7176,7016,2276,2032,1325,185,6733,6436,288,1,1,5,4
2007,14400,13283,7202,2286,1924,1388,206,8085,7240,6936,2286,1924,1382,205,6315,6043,266,0,0,6,1
2008,14207,13156,7000,2222,1830,1388,197,7989,7188,6751,2222,1829,1388,197,6218,5968,249,0,1,0,0
2009,14631,13635,6958,2281,1740,1569,189,8022,7248,6739,2281,1740,1568,187,6609,6387,219,0,0,1,2
2010,14504,13519,6893,2406,1660,1697,160,7943,7241,6611,2406,1660,1697,159,6561,6278,282,0,0,0,1
2011,14147,13205,6931,2380,1562,1758,136,8126,7434,6684,2380,1562,1756,135,6021,5771,247,0,0,2,1
2012,14011,13041,6878,2451,1451,1710,114,8143,7421,6632,2451,1451,1708,114,5868,5620,246,0,0,2,0
2013,9446,8777,4670,1728,937,1291,75,5502,5007,4499,1728,936,1289,74,3944,3770,171,0,1,2,1
