Year, All_Organs, Kidney, Liver, Pancreas, Kidney-Pancreas, Heart, Lung, Heart-Lung, Intestine, D_Donor_Organs, Kidney_DD, Liver_DD, Pancreas_DD, Kidney-Pancreas_DD, Heart_DD, Lung_DD, Heart-Lung_DD, Intestine_DD, L_Donor_Organs, Kidney_LD, Liver_LD, Pancreas_LD, Kidney-Pancreas_LD, Heart_LD, Lung_LD, Intestine_LD
1988,12623,8878,1713,78,171,1676,33,74,0,10794,7061,1713,73,171,1669,33,74,0,1829,1817,0,5,0,7,0,0
1989,13140,8656,2202,82,335,1705,93,67,0,11222,6753,2200,78,335,1696,93,67,0,1918,1903,2,4,0,9,0,0
1990,15001,9417,2690,69,458,2107,203,52,5,12878,7323,2676,67,458,2095,202,52,5,2123,2094,14,2,0,12,1,0
1991,15756,9678,2953,78,452,2127,405,51,12,13329,7282,2931,77,452,2123,401,51,12,2427,2396,22,1,0,4,4,0
1992,16134,9738,3064,64,493,2170,535,48,22,13563,7204,3031,61,493,2169,535,48,22,2571,2534,33,3,0,1,0,0
1993,17631,10360,3440,112,661,2297,667,60,34,14733,7509,3404,110,661,2295,660,60,34,2898,2851,36,2,0,2,7,0
1994,18298,10646,3652,94,748,2340,724,71,23,15210,7639,3592,94,746,2337,708,71,23,3088,3007,60,0,2,3,16,0
1995,19396,11084,3934,109,919,2363,872,69,46,15921,7695,3880,108,913,2363,848,69,45,3475,3389,54,1,6,0,24,1
1996,19765,11411,4087,164,861,2343,815,39,45,15983,7732,4022,163,851,2342,791,39,43,3782,3679,65,1,10,1,24,2
1997,20314,11708,4188,210,853,2293,932,62,68,16265,7775,4101,210,847,2293,911,62,66,4049,3933,87,0,6,0,21,2
1998,21523,12454,4519,244,972,2348,869,47,70,16978,8034,4427,244,970,2348,840,47,68,4545,4420,92,0,2,0,29,2
1999,22026,12765,4756,359,941,2188,893,51,73,17010,8044,4499,359,934,2188,864,51,71,5016,4721,257,0,7,0,29,2
2000,23266,13623,5001,439,915,2199,959,48,82,17335,8126,4595,438,909,2199,941,48,79,5931,5497,406,1,6,0,18,3
2001,24239,14279,5195,473,891,2202,1059,27,113,17641,8234,4671,472,888,2202,1034,27,113,6598,6045,524,1,3,0,25,0
2002,24910,14780,5332,555,906,2155,1042,33,107,18291,8539,4969,554,906,2155,1029,33,106,6619,6241,363,1,0,0,13,1
2003,25473,15138,5673,504,871,2057,1085,29,116,18659,8668,5351,504,868,2057,1070,29,112,6814,6470,322,0,3,0,15,4
2004,27040,16006,6171,603,881,2015,1172,40,152,20049,9359,5848,603,881,2015,1157,40,146,6991,6647,323,0,0,0,15,6
2005,28118,16485,6444,542,903,2125,1406,35,178,21213,9913,6121,541,902,2125,1405,35,171,6905,6572,323,1,1,0,1,7
2006,28940,17095,6651,466,924,2193,1405,31,175,22207,10660,6363,466,923,2192,1401,31,171,6733,6435,288,0,1,1,4,4
2007,28366,16634,6494,468,864,2209,1468,31,198,22053,10591,6228,468,864,2209,1465,31,197,6313,6043,266,0,0,0,3,1
2008,27964,16521,6319,434,837,2163,1478,27,185,21746,10553,6070,433,837,2163,1478,27,185,6218,5968,249,1,0,0,0,0
2009,28459,16829,6320,375,854,2211,1660,30,180,21850,10442,6101,375,854,2211,1659,30,178,6609,6387,219,0,0,0,1,2
2010,28662,16900,6291,349,828,2332,1769,42,151,22101,10622,6009,349,828,2332,1769,42,150,6561,6278,282,0,0,0,0,1
2011,28538,16814,6342,287,795,2322,1822,27,129,22518,11043,6095,287,795,2322,1821,27,128,6020,5771,247,0,0,0,1,1
2012,28052,16486,6256,242,801,2378,1754,29,106,22187,10868,6010,242,801,2378,1753,29,106,5865,5618,246,0,0,0,1,0
2013,19262,11205,4284,170,522,1687,1310,16,68,15317,7434,4113,170,521,1687,1309,16,67,3945,3771,171,0,1,0,1,1
