Year, All, Kidney, Liver, Pancreas, Kidney.Pancreas, Heart, Lung, HeartLung, Intestine, All-0-1, Liver-0-1, Heart-0-1, All-1-5, Kidney-1-5,Liver-1-5, Heart-1-5, Heart.Lung-1-5, All-6-10, Kidney-6-10, Liver-6-10, Heart-6-10, Lung-6-10, All-11-17, Kidney-11-17, Liver-11-17, Heart-11-17, Lung-11-17, All-18-34, Kidney-18-34, Liver-18-34, Pancreas-18-34, Kidney.Pancreas-18-34, Heart-18-34, Lung-18-34, Intestine-18-34, All-35-49, Kidney-35-49, Liver-35-49, Pancreas-35-49, Kidney.Pancreas-35-49, Heart-35-49, Lung-35-49, Heart.Lung-35-49, All-50-64, Kidney-50-64, Liver-50-64, Pancreas-50-64, Kidney.Pancreas-50-64, Heart-50-64, Lung-50-64, All-65+, Kidney-65+, Liver-65+, Heart-65+, Lung-65+,
1988,26,24,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,5,4,0,0,1,0,0,0,11,10,1,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
1989,64,39,17,1,4,3,0,0,0,1,1,0,2,2,0,0,0,2,1,1,0,0,2,2,0,0,0,22,13,4,1,4,0,0,0,22,15,6,0,0,1,0,0,10,5,4,0,0,1,0,3,1,1,0,1,0
1990,142,56,54,3,6,20,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,2,0,0,32,16,5,3,4,4,0,0,40,14,19,0,2,5,0,0,52,18,21,0,0,11,2,13,6,6,0,0,1
1991,146,54,51,2,4,25,8,2,0,5,2,3,5,1,4,0,0,1,1,0,0,0,2,1,1,0,0,33,19,5,0,1,4,4,0,50,17,18,2,3,7,1,2,45,11,21,0,0,10,3,5,4,0,0,1,0
1992,134,53,36,1,2,25,17,0,0,1,0,1,3,1,2,0,0,2,1,1,0,0,6,3,0,2,1,16,11,2,0,1,1,1,0,45,24,14,1,1,2,3,0,51,8,15,0,0,16,12,10,5,2,0,3,0
1993,159,43,66,1,9,22,18,0,0,3,1,2,2,1,1,0,0,2,0,2,0,0,5,3,2,0,0,25,11,8,1,4,1,0,0,50,15,23,0,5,3,4,0,67,13,27,0,0,14,13,5,0,2,0,2,1
1994,143,34,62,0,7,27,13,0,0,3,1,2,4,0,3,1,0,1,0,0,1,0,1,0,1,0,0,16,3,5,0,5,2,1,0,54,18,23,0,2,5,6,0,58,8,29,0,0,15,6,6,5,0,0,1,0
1995,151,53,54,1,4,23,16,0,0,2,0,2,1,0,1,0,0,3,3,0,0,0,3,0,2,0,1,20,14,3,0,1,0,2,0,46,15,14,1,3,9,4,0,56,14,22,0,0,11,9,20,7,12,0,1,0
1996,148,68,37,1,5,22,15,0,0,3,2,1,4,1,3,0,0,1,1,0,0,0,6,4,1,0,1,27,19,3,0,2,2,1,0,51,25,13,1,3,6,3,0,48,14,13,0,0,11,10,8,4,2,0,2,0
1997,135,74,24,0,5,18,13,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,3,3,0,0,0,20,13,2,0,2,1,2,0,54,32,12,0,3,3,4,0,47,20,10,0,0,11,6,9,6,0,0,2,1
