Year, All.W, Kidney.W, Liver.W, Pancreas.W, Kidney.Pancreas.W, Heart.W, Lung.W, Heart.Lung.W, Intestine.W, All.B, Kidney.B, Liver.B, Pancreas.B, Kidney.Pancreas.B, Heart.B, Lung.B, Heart.Lung.B, All.H, Kidney.H, Liver.H, Heart.H, Lung.H, All.A, Kidney.A, Liver.A, Pancreas.A, Heart.A, All.AI, Kidney.AI, Liver.AI, Lung.AI, All.PI, Kidney.PI,,,,
1988,22,20,1,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,48,28,12,1,4,3,0,0,0,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,121,43,51,2,6,16,3,0,0,20,13,3,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1991,125,43,44,2,4,23,8,1,0,20,10,7,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,124,48,33,1,2,24,16,0,0,10,5,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,139,32,60,1,6,22,18,0,0,17,10,4,0,3,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0
1994,119,24,53,0,7,22,13,0,0,19,9,5,0,0,5,0,0,2,0,2,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1995,127,42,48,1,4,18,14,0,0,17,9,2,0,0,5,1,0,4,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0
1996,125,54,33,1,5,19,13,0,0,21,12,4,0,0,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,108,54,23,0,5,17,8,1,0,25,19,1,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1998,99,49,22,1,3,14,10,0,0,25,20,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,105,46,23,2,4,14,16,0,0,18,16,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2000,118,44,34,1,5,13,21,0,0,16,10,2,0,1,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,119,45,37,1,5,11,20,0,0,21,12,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2002,97,50,24,0,1,9,13,0,0,16,12,3,1,0,0,0,0,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2003,116,52,27,2,6,14,15,0,0,25,15,1,0,0,5,4,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,122,52,32,6,5,7,20,0,0,30,20,2,1,0,2,5,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
2005,164,73,37,10,5,8,31,0,0,36,21,3,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,181,73,51,9,5,9,34,0,0,41,29,5,0,1,6,0,0,5,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
2007,189,75,79,8,4,7,15,0,1,38,25,4,0,0,5,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2008,194,74,82,5,7,10,16,0,0,34,25,3,1,1,1,3,0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1
2009,175,55,79,14,1,7,18,0,1,40,22,6,0,2,6,4,0,2,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,155,45,69,4,4,18,15,0,0,39,23,7,0,2,3,4,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,128,52,36,3,6,13,18,0,0,34,23,8,0,0,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,132,42,59,2,6,10,13,0,0,36,21,9,2,0,2,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2013,93,26,42,3,4,10,8,0,0,19,16,2,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
